title,decade
Linda Lovelace for President,1970s
Lipstick (1976 film),1970s
Little Big Man (film),1970s
Little Cigars (film),1970s
Little Fauss and Big Halsy,1970s
Little Girl... Big Tease,1970s
Little Laura and Big John,1970s
Little Mother (1973 film),1970s
Little Murders,1970s
Little Women (1978 miniseries),1970s
Logan's Run (film),1970s
Lolly-Madonna XXX,1970s
Look What's Happened to Rosemary's Baby,1970s
Looking for Mr. Goodbar (film),1970s
Lost Flight,1970s
Lost Horizon (1973 film),1970s
Lost in the Stars (1974 film),1970s
Love Me Deadly,1970s
Love Story (1970 film),1970s
Love and Bullets (1979 film),1970s
Love and Death,1970s
Love and Pain and the Whole Damn Thing,1970s
Love at First Bite,1970s
"Love, Lust and Violence",1970s
Lovers and Other Strangers,1970s
Lovin' Molly,1970s
Loving (1970 film),1970s
Lucifer's Women,1970s
Lucky Lady,1970s
Lucky Luciano (film),1970s
Luther (1974 film),1970s
M*A*S*H (film),1970s
MacArthur (1977 film),1970s
Macbeth (1971 film),1970s
Mackintosh and T.J.,1970s
Macon County Line,1970s
Made for Each Other (1971 film),1970s
Madhouse (1974 film),1970s
Madron (film),1970s
Magic (1978 film),1970s
Magnum Force,1970s
Mahogany (film),1970s
Maidstone (film),1970s
Making It (film),1970s
Mako: The Jaws of Death,1970s
Malatesta's Carnival of Blood,1970s
Mama's Dirty Girls,1970s
Mame (film),1970s
Man Friday (film),1970s
Man and Boy (1971 film),1970s
Man in the Wilderness,1970s
Man of La Mancha (film),1970s
Man on a Swing,1970s
Man with the Golden Winchester,1970s
Mandingo (film),1970s
Manhattan (1979 film),1970s
Manny's Orphans,1970s
Mansion of the Doomed,1970s
Maraschino Cherry (film),1970s
Marathon Man (film),1970s
Mardi Gras Massacre,1970s
Martin (1977 film),1970s
Mary Jane Harper Cried Last Night,1970s
"Mary, Mary, Bloody Mary",1970s
Massacre Mafia Style,1970s
Massacre at Central High,1970s
Massage Parlor Murders!,1970s
Mastermind (1976 film),1970s
Matilda (1978 film),1970s
"Mayday at 40,000 Feet!",1970s
McCabe & Mrs. Miller,1970s
McQ,1970s
Mean Dog Blues,1970s
Mean Streets,1970s
Meatcleaver Massacre,1970s
Melinda (film),1970s
Melvin Purvis: G-Man,1970s
Memories Within Miss Aggie,1970s
Messiah of Evil,1970s
Meteor (film),1970s
Microwave Massacre,1970s
Midnight Express (film),1970s
Midway (1976 film),1970s
Mikey and Nicky,1970s
Minnie and Moskowitz,1970s
Miracle on 34th Street (1973 film),1970s
Mirrors (1978 film),1970s
Miss Leslie's Dolls,1970s
Mitchell (film),1970s
Monte Walsh (1970 film),1970s
Mooch Goes to Hollywood,1970s
Moon of the Wolf,1970s
Moonchild (1974 film),1970s
Moonraker (film),1970s
Moonshine County Express,1970s
More American Graffiti,1970s
"Mother, Jugs & Speed",1970s
Mountain Family Robinson,1970s
Move (1970 film),1970s
Movie Movie,1970s
Moving Violation (film),1970s
Mr. Billion,1970s
Mr. Majestyk,1970s
Mr. Mean (film),1970s
Mr. Mike's Mondo Video,1970s
Mr. Ricco,1970s
Multiple Maniacs,1970s
Murder at the World Series,1970s
Murder by Death,1970s
Murder on Flight 502,1970s
Murders in the Rue Morgue (1971 film),1970s
Murph the Surf (film),1970s
"My Lover, My Son",1970s
My Old Man (film),1970s
Myra Breckinridge (film),1970s
Naked Came the Stranger (film),1970s
Napoleon and Samantha,1970s
Nashville (film),1970s
Nasty Habits (film),1970s
Necromancy (film),1970s
Network (1976 film),1970s
"New York, New York (1977 film)",1970s
Newman's Law,1970s
"Next Stop, Greenwich Village",1970s
Nickelodeon (film),1970s
Nicole (film),1970s
